Time,Intensity
0.0,9.455517225447888
1.0,8.185331206887675
2.0,6.647934516470954
3.0,6.210269682786922
4.0,5.681838286662543
5.0,6.077848834705533
6.0,5.69712499659321
7.0,6.0274682525586805
8.0,6.57355789675242
9.0,5.387360524390557
10.0,4.655812849717259
11.0,3.6870471252862025
12.0,2.8918736329408126
13.0,2.2469057830654378
14.0,2.403427502922132
15.0,2.2866604277639877
16.0,3.1610153907162926
17.0,3.926215639413343
18.0,4.7723229812304995
19.0,5.888579818281381
20.0,6.805298481375857
21.0,6.921769160502778
22.0,6.486680586660782
23.0,6.5316422649041925
24.0,5.501448549867537
25.0,4.454135228843426
26.0,3.1923034451610306
27.0,2.130778233914755
28.0,1.762857091672001
29.0,2.310324423671507
30.0,2.629935528022938
31.0,2.640866241743953
32.0,2.9201517109775144
33.0,2.8978214606248804
34.0,2.6225336002879818
35.0,2.943774933534451
36.0,2.9064064179103184
37.0,2.585286523741411
38.0,3.1541441851309298
39.0,4.1088442563083065
40.0,5.7462295334624995
41.0,6.845747227032427
42.0,6.962647297850277
43.0,6.937163618230508
44.0,6.621549509692001
45.0,6.681213773943575
46.0,5.813601068013245
47.0,6.078642723377257
48.0,5.956949074663981
49.0,6.679705374234958
