Time,Intensity
0.0,9.991151585732727
1.0,9.96751385075923
2.0,9.603378330507294
3.0,9.997463077060035
4.0,10.52412531808507
5.0,10.011873609916632
6.0,9.841361312404063
7.0,9.492150644129394
8.0,9.543521803169359
9.0,9.497752874780332
10.0,9.600004245202124
11.0,9.402209107934862
12.0,9.451661965383815
13.0,9.492377172513246
14.0,9.116448170022192
15.0,7.171470113474634
16.0,4.9169235560668545
17.0,2.4429207908812796
18.0,-0.2210818491053944
19.0,-0.8546288797243845
20.0,-1.1854476008032628
21.0,-0.1711362564541712
22.0,0.19756861643276682
23.0,0.2007510001638373
24.0,0.4084640851264455
25.0,0.025648801048545916
26.0,-0.46300526827257954
27.0,0.44309452202070587
28.0,0.38955182507270314
29.0,0.7050878626345851
30.0,1.284854494353823
31.0,1.8125773170818258
32.0,2.021164618499052
33.0,1.4979921470093303
34.0,1.5888403845490142
35.0,1.3882817292399472
36.0,1.148062986978391
37.0,1.1595065720424187
38.0,1.299841913152197
39.0,1.497160286622472
40.0,1.530360040457588
41.0,1.2661029846513534
42.0,1.1485683662268427
43.0,1.946220919533924
44.0,1.413832267930799
45.0,1.5783308833987955
46.0,1.7547147633141122
47.0,1.5918161527062282
48.0,1.6731834122329028
49.0,1.6576605981749521
