Time,Intensity
0.0,7.743853039664678
1.0,8.49423814358261
2.0,8.381196538898545
3.0,8.557190603446978
4.0,9.072091163279927
5.0,9.736514442406508
6.0,9.683806991837628
7.0,10.065229015128558
8.0,10.105908411858147
9.0,9.817649424007728
10.0,10.112929806383796
11.0,9.692047709454217
12.0,9.669529336882759
13.0,9.901450661742972
14.0,10.17954943651047
15.0,9.445825164436279
16.0,9.126528963789891
17.0,8.79093655148847
18.0,7.819954537705842
19.0,7.960084214196777
20.0,8.377429812554439
21.0,8.365294539025037
22.0,7.917608753962037
23.0,7.93233234170899
24.0,7.733725522588955
25.0,8.12017797216924
26.0,7.468113922109009
27.0,5.094252348278932
28.0,4.028646507144635
29.0,2.783916588702871
30.0,2.7581428186744468
31.0,2.8395434876023025
32.0,2.4905343281439554
33.0,2.6613252082270407
34.0,3.102360021268296
35.0,3.0485782291102708
36.0,3.204656651788576
37.0,2.7139016952384267
38.0,3.0115369926428106
39.0,3.07605556010145
40.0,3.1768172441145808
41.0,3.0191122472777905
42.0,2.754771090453722
43.0,3.0620511262902093
44.0,2.9683896048593383
45.0,3.426439230713904
46.0,2.9128175054237038
47.0,2.833605581858378
48.0,2.26944519198691
49.0,3.323141265007017
