Time,Intensity
0.0,6.552795992625594
1.0,5.8445331593924
2.0,5.498187305852811
3.0,4.565916189756349
4.0,3.507591885500733
5.0,2.7837818842929516
6.0,2.8072412420692703
7.0,2.2688263437460963
8.0,2.6520960375953093
9.0,2.967991339477133
10.0,3.517543591344707
11.0,4.665912753060241
12.0,5.647044364391111
13.0,6.565634428555782
14.0,6.738056791385699
15.0,6.501113216400797
16.0,6.784480336786641
17.0,6.039593550723032
18.0,5.53065893022219
19.0,4.18588370900276
20.0,3.6832795798200055
21.0,2.902557172923837
22.0,2.2513792077876777
23.0,2.7152556192669675
24.0,2.4044377454643713
25.0,2.7673227176423194
26.0,3.04299686830364
27.0,2.705894347430052
28.0,3.097461159039867
29.0,2.985166858557566
30.0,3.0596037609073217
31.0,3.1565701777015285
32.0,4.521100086542974
33.0,5.728958245312588
34.0,6.2939141051495895
35.0,6.8931106507246955
36.0,6.986272688229119
37.0,7.128606405952425
38.0,6.262123715015959
39.0,6.289154707714597
40.0,6.04805155442541
41.0,6.376777863424445
42.0,6.020210934254042
43.0,6.90173159499561
44.0,6.370353948184835
45.0,6.62725997967589
46.0,6.187491727693915
47.0,6.169600059473934
48.0,6.6063433381577
49.0,6.5100605086563705
