Time,Intensity
0.0,8.00618962823021
1.0,8.225732140963858
2.0,8.227812097900403
3.0,8.104521867320829
4.0,7.94370316226909
5.0,8.44551793815287
6.0,7.794491874463969
7.0,8.335227331526422
8.0,9.329722596176396
9.0,9.795921031668845
10.0,9.814428101438336
11.0,10.24822321470992
12.0,10.24280021495247
13.0,10.055659835639485
14.0,9.943209590140723
15.0,9.579883167483397
16.0,9.528889537735004
17.0,10.094472258046897
18.0,9.714118979130534
19.0,10.241957995174518
20.0,9.91106648593004
21.0,9.92710068008983
22.0,10.10529882692348
23.0,10.402471337061115
24.0,9.925626480061219
25.0,9.700082355889762
26.0,9.181403846731422
27.0,8.206662506903463
28.0,7.2094184510066
29.0,5.388038520884119
30.0,3.8788627336878743
31.0,2.7192122172163726
32.0,2.1525334061303454
33.0,2.2732151382664414
34.0,2.5910777505996037
35.0,2.9709195104755786
36.0,3.120551968546226
37.0,2.6875637272878317
38.0,2.5637378768802543
39.0,2.9198545330829258
40.0,2.8687432116639604
41.0,2.8466318878087242
42.0,3.293801520849839
43.0,2.9485457322836712
44.0,2.887977258639325
45.0,3.4833647827400993
46.0,3.11190759705403
47.0,3.280341338489263
48.0,3.198248796682467
49.0,3.348200814479743
